elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,4585.57,4651,4923,5773,514.94
2.00,200,4707.39,4763,5320,7473,1248.71
3.00,200,4436.22,4446,5225,6718,706.91
4.00,200,4715.15,4571,5257,5830,1261.76
5.00,300,4635.67,4676,5205,6097,572.59
6.00,200,4513.30,4625,5156,5451,571.59
7.00,200,4556.99,4607,5126,5393,559.41
8.00,200,4553.27,4691,5037,6173,652.42
9.00,200,4689.11,4588,5086,5667,1412.28
10.00,300,4708.75,4660,5141,7493,1100.84
11.00,200,4390.02,4255,4937,5027,515.67
12.00,200,4206.29,4301,4817,6029,608.75
13.00,300,4386.94,4204,4817,5571,758.02
14.00,200,4067.46,4249,4594,5146,1082.17
15.00,200,4223.03,4417,4800,6638,746.73
16.00,200,4144.94,4438,4884,5165,563.14
17.00,300,4371.74,4449,4675,5556,1323.70
18.00,200,4222.83,4410,5035,5798,646.51
19.00,200,4193.45,4359,4585,5130,1236.72
20.00,200,4468.80,4386,4964,8612,1427.06
21.00,300,4405.35,4553,4769,5007,702.32
22.00,200,4190.73,4375,4876,5428,649.76
23.00,200,4485.47,4636,5010,5438,523.22
24.00,300,4493.40,4442,5056,5063,1139.59
25.00,200,4522.29,4441,5032,5916,585.29
26.00,200,4416.36,4562,5144,5538,613.52
27.00,200,4417.33,4488,4961,7093,1156.97
28.00,300,4165.68,4271,4955,5085,661.55
29.00,200,4350.64,4414,5000,5074,543.21
30.00,200,4568.64,4444,5070,7872,762.98
31.00,200,4301.51,4406,5030,5030,535.98
32.00,300,4225.59,4349,4972,7050,696.30
33.00,200,4247.35,4264,4952,6230,710.35
34.00,200,4435.24,4500,5070,8495,1234.70
35.00,300,4535.93,4486,5084,6080,636.52
36.00,200,4227.27,4325,5032,5392,745.91
37.00,200,4318.49,4278,4776,5505,1024.90
38.00,200,4316.47,4314,4865,10706,942.89
39.00,300,4397.66,4317,5091,7875,715.76
40.00,200,4442.78,4529,5018,6589,667.19
41.00,200,4325.57,4493,4980,5057,594.53
42.00,200,4315.89,4328,4918,7209,1095.71
43.00,300,4357.23,4448,4849,4849,435.76
44.00,200,4345.04,4447,5115,5231,556.55
45.00,200,4299.76,4454,5044,5451,1026.50
46.00,200,4573.07,4546,5156,8101,1354.11
47.00,300,4372.30,4353,4979,6429,1587.98
48.00,200,4488.85,4410,4969,8172,1197.75
49.00,200,4558.35,4518,4976,7238,1449.93
50.00,300,4374.62,4373,5015,5015,1122.16
51.00,200,4473.95,4391,5115,5274,1316.60
52.00,200,4397.34,4316,4976,7330,690.31
53.00,200,4527.72,4442,5057,7857,1207.02
54.00,300,4521.17,4344,5053,5409,585.86
55.00,200,4416.49,4597,4941,5247,1353.65
56.00,200,4195.11,4396,4967,5090,718.77
57.00,300,4245.75,4450,4954,5293,691.07
58.00,200,4304.31,4522,4804,6537,657.21
59.00,200,4479.39,4419,5140,6160,798.79
60.00,300,4465.03,4533,5041,6547,1174.76
61.00,200,4215.36,4351,4906,4997,608.81
62.00,200,4365.17,4454,4713,5050,568.40
63.00,200,4645.26,4426,5006,9599,1634.90
64.00,300,4469.80,4377,4892,7303,1153.26
65.00,200,4428.08,4445,5057,5692,752.35
66.00,200,4375.73,4349,4634,5934,1403.77
67.00,300,4345.49,4543,4798,5249,1797.51
68.00,300,4159.52,4369,4674,4793,545.18
69.00,200,4392.48,4601,4696,5062,1065.81
70.00,200,4378.75,4420,4786,6859,736.23
71.00,300,4345.96,4472,4831,7120,1274.82
72.00,200,4492.89,4452,4907,6610,643.03
73.00,200,4376.15,4437,5034,7084,853.02
74.00,200,4441.05,4590,4867,5306,1135.37
75.00,300,4215.17,4409,4816,4998,559.57
76.00,200,4531.43,4609,5043,6118,594.87
77.00,200,4435.18,4516,4813,5357,617.40
78.00,300,4195.74,4410,4719,7176,1594.93
79.00,200,4308.36,4496,4987,5093,525.22
80.00,200,4647.85,4499,4881,17378,854.44
81.00,200,4587.73,4503,5051,7361,1399.45
82.00,300,4603.79,4354,4981,9191,1699.57
83.00,200,4405.47,4466,4812,5799,953.09
84.00,200,4395.04,4419,4972,5682,1374.89
