Chart Title: ,CPU & Disk Write Bytes for RMQ 6-Node Cluster,,,,,,,,,,,
,,,,,,,,,,,,
Thu Jan 22 2026 17:28:00 GMT+0100 (Central European Standard Time),,,,,,,,,,,,
Thu Jan 22 2026 18:32:00 GMT+0100 (Central European Standard Time),,,,,,,,,,,,
Grain: Automatic,,,,,,,,,,,,
Aggregation type: Avg,,,,,,,,,,,,
Grouping: Microsoft.ResourceId,,,,,,,,,,,,
Filters: undefined: /subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourcegroups/rabbitmq-benchmark-rg/providers/microsoft.compute/virtualmachines/rabbit-cluster-node-01,,,,,,,,,,,,
Chart type: Line,,,,,,,,,,,,
,,,,,,,,,,,,
,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-03,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-05,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-06,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-04,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-01,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-02,,,,,,
1/22/26 17:28,"0,405","0,335","0,59","0,305","0,61","0,24","955,62","1229,06","750,95","955,74","614,42","682,67"
1/22/26 17:29,"0,41","0,315",--,--,"13,75","10,42","273,12","273,09","7565856,32","273,08","7527965,26","136,54"
1/22/26 17:30,"10,125","68,535","35,2725","34,55","65,235","63,925","69633082,91","60294215,44","147092961,2","84398472,41","135798450,5","124336635,7"
1/22/26 17:31,"69,93","70,345","68,38","66,275","64,7","64,045","168802823,6","161343274,5","149739033,6",141216708,140454524,"118527298,6"
1/22/26 17:32,"71,56","69,105","67,75","65,855","64,1","63,735","165522476,6","159691523,9","148392417,1","140971280,3","139423238,8","126629041,4"
1/22/26 17:33,"69,255","69,635","68,265","66,525","65,075","64,395","168576164,6","158413069,2","149091596,3","142075337,7","142905141,7","128164082,1"
1/22/26 17:34,"70,385","69,545","67,695","66,275","64,695","63,1","167600781,5","160595734,8","146899527,3","141347662,3","139577227,2","126523202,4"
1/22/26 17:35,"69,545","69,55","68,075","66,575","65,47","64,035","165850723,5","159692348,4","148375321,5","142263353,7","140451111,4","127186720,1"
1/22/26 17:36,"69,895","69,585","68,36","66,225","65,04","64,37","169108269,9","160195990,5","148651553,7","142354862,7",142215225,128148424
1/22/26 17:37,"70,155","69,935","68,035","66,89","65,54","64,165","168953835,1","157566238,2","147351810,8","141490258,8","139759153,1","127558917,2"
1/22/26 17:38,"69,68","69,675","68,09","66,335","65,78","64,585","169606120,1","160056894,5","148485011,6","144202696,2","139899748,6","129059049,8"
1/22/26 17:39,"69,785","70,025","68,055","66,29","65,44","64,28",169108220,158491138,"148898180,2","141850784,1","139357965,6","129779017,1"
1/22/26 17:40,"69,955","69,935","68,23","66,315","65,095","64,295","166034911,4","159303144,5","148342190,3","142731041,5","139803865,9","129873206,6"
1/22/26 17:41,"70,285","69,3","68,365","66,44","65,055","64,335","167521858,6","160270513,2",147621968,"143182698,7",138926294,"129716658,3"
1/22/26 17:42,"69,975","70,065","68,165","66,49","65,205","64,27","169156897,5","159131422,4","149367787,3","141881848,4","140604005,4","128140068,2"
1/22/26 17:43,"70,125","69,835","68,46","65,965","65,38","63,86","168783220,6",159158602,146945894,"141856060,1","141332773,7","128830705,6"
1/22/26 17:44,"69,725","69,775","68,24","66,55","65,63","64,735","167951230,7","160366296,8",148133989,"142190053,3","143359590,8","128475182,4"
1/22/26 17:45,"69,68","69,6","68,15","66,66","65,33","64,315","169653257,9","159035631,2","149212748,5","142707432,2","141748277,1","130377144,6"
1/22/26 17:46,"69,805","69,83","67,56","66,47","65,225","64,145","168491235,3","159041033,1","150132318,4","142285054,3","139993100,9","128772186,5"
1/22/26 17:47,"70,205","70,015","68,005","66,45","65,845","64,79","167924790,7","158474364,8","149044668,3","142552311,7",142252034,"129570968,2"
1/22/26 17:48,"69,905","69,49","68,07","66,405","65,56","64,435","168672771,8","159335296,4",147993822,"141731259,9","141053321,2","128674571,6"
1/22/26 17:49,"69,68","69,59","68,385","66,835","65,655","64,28","167456602,5","159077391,6","148883350,7","141597792,4","142116723,3",129373680
1/22/26 17:50,"69,955","69,97","68,05","66,16","65,375","64,48","168994810,3","161011855,1","147856465,1","142761494,1","141582059,9","130615026,4"
1/22/26 17:51,"70,115","69,725","68,145","66,565","65,465","64,3","168793465,5","158259229,7","149274249,4",142389382,"141605782,3","129907041,2"
1/22/26 17:52,"70,11","69,725","68,43","66,615","65,55","64,07","167587481,5","159515132,5","150300970,2","143849019,9","140737501,5","128914402,9"
1/22/26 17:53,"69,545","70,37","67,925","66,385","65,48","64,55","168596762,8","160298840,3","149026886,7","142793607,4","138939864,4","129511642,9"
1/22/26 17:54,"69,99","70,09","68,15","66,705","65,76","64,41","170238438,7","159376578,7","149471282,3","142046317,7","138675810,2","129645854,8"
1/22/26 17:55,"69,885","69,61","67,79","66,095","65,255","63,93",167788767,"161352150,7","149867956,5","141369601,9",141017008,"130734650,6"
1/22/26 17:56,"70,025","70,105","68,185","66,545","65,72","64,575","167361736,9","159219438,5",149023060,"142064549,5","140210907,5","129293184,2"
1/22/26 17:57,"69,67","69,485","68,065","66,395","65,455","64,34","170334392,3","159596514,2","150845640,1","141715081,2","141563480,5",130054231
1/22/26 17:58,"69,61","69,835","68,415","66,08","65,485","64,43","167447866,9","158953065,6","148828107,5",142053463,"142275973,4","130604541,1"
1/22/26 17:59,"69,56","70,205","68,075","66,23","65,225","64,445","167149591,2","159680321,1","148808439,3","141626819,6","141197419,9","129169766,2"
1/22/26 18:00,"69,6","69,635","68,47","66,695","65,43","64,3","169034202,7","159476521,2","149230611,5","143685137,2","140661247,2",129106093
1/22/26 18:01,"69,49","69,8","68,155","66,23","65,445","64,18","167760196,3",160307899,"150235209,5","142783355,5","140671019,4",129799971
1/22/26 18:02,"69,595","69,875","68,545","66,625","65,69","64,73","168732152,3","159181096,9","147979217,9","142278551,2","140003074,3",130753282
1/22/26 18:03,"69,865","70,115","68,27","65,955","65,58","64,51","168545943,9","160074020,8","146048966,4","141176465,6","141480410,5","129482415,3"
1/22/26 18:04,"70,01","69,565","68,275","66,855","65,55","64,45","168851202,7","159735670,4","148596019,8","141496928,9","141470429,4","129936378,6"
1/22/26 18:05,"69,82","69,87","68,165","66,69","65,585","64,315","168797724,4","159902235,2","150133181,2","141292532,2",140386892,"130236953,5"
1/22/26 18:06,"69,81","69,79","68,53","66,695","65,265","64,505","167350973,5","159474278,7","148977296,1","142784451,6",140797288,"130704316,4"
1/22/26 18:07,"69,965","69,73","67,8","66,22","65,56","64,005","165872291,6","160488754,8","150661757,3","142580764,5","140034767,8",130861769
1/22/26 18:08,"69,235","70,17","68,53","65,94","65,53","64,505","169097680,3","159808288,2",147163874,"141407377,2","142494886,7","130004826,3"
1/22/26 18:09,"69,68","70,075","68,19","66,03","65,76","64,43","170596446,8","159736000,3","146825274,8","142026434,9","141487117,2","130138982,8"
1/22/26 18:10,"70,22","69,405","68,245","66,69","65,795","64,46","168431929,1","160759997,1","148890883,9","142829420,8","142302871,4","129991205,2"
