Chart Title: ,CPU & Disk Write Bytes for RMQ 9-Node Cluster,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Thu Jan 22 2026 18:39:00 GMT+0100 (Central European Standard Time),,,,,,,,,,,,,,,,,,
Thu Jan 22 2026 19:43:00 GMT+0100 (Central European Standard Time),,,,,,,,,,,,,,,,,,
Grain: Automatic,,,,,,,,,,,,,,,,,,
Aggregation type: Avg,,,,,,,,,,,,,,,,,,
Grouping: Microsoft.ResourceId,,,,,,,,,,,,,,,,,,
Filters: undefined: /subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourcegroups/rabbitmq-benchmark-rg/providers/microsoft.compute/virtualmachines/rabbit-cluster-node-01,,,,,,,,,,,,,,,,,,
Chart type: Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-09,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-02,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-01,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-03,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-04,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-06,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-08,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-05,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-07,,,,,,,,,
1/22/26 18:39,"0,43","0,24","0,32","0,325",--,"0,26","0,26","0,615","0,23","3686,77","955,71",--,"1024,09","37286,45","40169,87","1092,29","1160,64","3686,05"
1/22/26 18:40,"0,495","6,705","7,26","6,955",--,"0,305","0,25","6,91","9,255","819,19","46523883,4","819,43","14465391,51","1229,49","958,36","819,31",13954176,"1228,81"
1/22/26 18:41,"69,035","67,62","66,835","67,1","14,785","64,87","65,955","64,33","64,03","134067709,5","161365120,9","131554937,3","158116258,7","60539646,3","73917462,22","134208682,8","149365840,8","100443577,5"
1/22/26 18:42,"70,28","67,26","66,885","67,195","65,255","66,975","66,51","64,06","64,09","160377000,6","158861480,1","152248021,5","156097728,1","155139862,4","153923093,5",151549804,"150429369,1","128462098,8"
1/22/26 18:43,"70,545","66,925","66,275","67,07","64,975","66,67","66,59","64,24","63,735","159568364,4","159885059,9",154172789,"153388411,3","154395461,4","157332941,3","149388096,1","148047802,9","127694679,3"
1/22/26 18:44,"70,555","67,725","67,305","67,16","64,87","66,705","66,7","64,94","63,775","160155199,4","157813202,4","153832507,3",158549571,"154422360,7","152388105,2",149504027,"149166500,6","128612324,2"
1/22/26 18:45,"70,235","67,555","66,62","67,295","65,47","66,64","67,525","64,485","64,21","161354655,5","157848478,9","152848430,4","156535609,5","155602891,2","155150146,2","151546074,6","148818102,9","128181984,7"
1/22/26 18:46,"70,39","67,625","67,505","67,295","64,95","66,62","67,135","64,66","64,2","161345489,6","159901374,9","153006703,5","155047761,9","155010985,6","155871874,2","151410740,5",151418899,"128694160,4"
1/22/26 18:47,"69,935","67,335","67,33","67,695","65,61","66,63","66,715","64,6","64,07","160218929,9","160970977,3","153947840,3","156061693,7","155227095,1","154050139,3","150910276,2","149804076,5","126839673,2"
1/22/26 18:48,"69,985","67,665","67,15","67,335","64,97","66,955","66,335","64,505","63,965","161269411,2","160520873,7","152688551,2","155812783,2","156324532,4","157184833,6",149528323,"148611045,4","127476371,2"
1/22/26 18:49,"69,835","67,595","67,235","67,345","65,17","66,455","66,545","64,595","63,98","160949082,2","160613624,9","152742840,5","156940711,2","155097072,2","152333028,7","151542146,9","150605306,5","126319202,4"
1/22/26 18:50,"69,96","67,81","67,235","67,52","65,11","66,99","66,78","64,49","63,97",161601490,"158843511,8","154757239,7","156565283,8","154036056,7","154280838,7","151046400,3","148926535,7","126697451,6"
1/22/26 18:51,"70,12","67,595","67,295","67,565","65,115","67,35","66,505","64,195","64,175","161335687,5",160591197,"154053928,1","157345275,3","154609002,1",153623101,"150973745,4","149020572,1","127253593,4"
1/22/26 18:52,"70,335","67,9","67,275","67,125","64,935","66,51","66,885","64,41","64,09","160660783,4","158977252,4","153893218,4","155904432,8","152389166,9","154507741,2","150303260,9","148414883,2",128925679
