elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,135600,0.00,0,0,0,0.00
2.00,293400,0.00,0,0,0,0.00
3.00,289400,0.00,0,0,0,0.00
4.00,284500,0.00,0,0,0,0.00
5.00,315000,0.00,0,0,0,0.00
6.00,327500,0.00,0,0,0,0.00
7.00,305500,0.00,0,0,0,0.00
8.00,287200,0.00,0,0,0,0.00
9.00,319700,0.00,0,0,0,0.00
10.00,329000,0.00,0,0,0,0.00
11.00,306500,0.00,0,0,0,0.00
12.00,285500,0.00,0,0,0,0.00
13.00,295400,0.00,0,0,0,0.00
14.00,328500,0.00,0,0,0,0.00
15.00,323600,0.00,0,0,0,0.00
16.00,278100,0.00,0,0,0,0.00
17.00,299100,0.00,0,0,0,0.00
18.00,333100,0.00,0,0,0,0.00
19.00,321100,0.00,0,0,0,0.00
20.00,283900,0.00,0,0,0,0.00
21.00,283000,0.00,0,0,0,0.00
22.00,328500,0.00,0,0,0,0.00
23.00,329000,0.00,0,0,0,0.00
24.00,286800,0.00,0,0,0,0.00
25.00,278500,0.00,0,0,0,0.00
26.00,331500,0.00,0,0,0,0.00
27.00,332900,0.00,0,0,0,0.00
28.00,298700,0.00,0,0,0,0.00
29.00,271500,0.00,0,0,0,0.00
30.00,323300,0.00,0,0,0,0.00
31.00,325100,0.00,0,0,0,0.00
32.00,314400,0.00,0,0,0,0.00
33.00,274300,0.00,0,0,0,0.00
34.00,310300,0.00,0,0,0,0.00
35.00,331000,0.00,0,0,0,0.00
36.00,319000,0.00,0,0,0,0.00
37.00,270100,0.00,0,0,0,0.00
38.00,307500,0.00,0,0,0,0.00
39.00,333300,0.00,0,0,0,0.00
40.00,320700,0.00,0,0,0,0.00
41.00,279800,0.00,0,0,0,0.00
42.00,300600,0.00,0,0,0,0.00
43.00,326800,0.00,0,0,0,0.00
44.00,331700,0.00,0,0,0,0.00
45.00,275800,0.00,0,0,0,0.00
46.00,294300,0.00,0,0,0,0.00
47.00,327600,0.00,0,0,0,0.00
48.00,331700,0.00,0,0,0,0.00
49.00,294900,0.00,0,0,0,0.00
50.00,289000,0.00,0,0,0,0.00
51.00,321800,0.00,0,0,0,0.00
52.00,327700,0.00,0,0,0,0.00
53.00,300500,0.00,0,0,0,0.00
54.00,289700,0.00,0,0,0,0.00
55.00,305100,0.00,0,0,0,0.00
56.00,326100,0.00,0,0,0,0.00
57.00,315500,0.00,0,0,0,0.00
58.00,289000,0.00,0,0,0,0.00
59.00,308900,0.00,0,0,0,0.00
60.00,312500,0.00,0,0,0,0.00
61.00,311500,0.00,0,0,0,0.00
62.00,290900,0.00,0,0,0,0.00
63.00,300700,0.00,0,0,0,0.00
64.00,324600,0.00,0,0,0,0.00
65.00,317500,0.00,0,0,0,0.00
66.00,297700,0.00,0,0,0,0.00
67.00,297700,0.00,0,0,0,0.00
68.00,316900,0.00,0,0,0,0.00
69.00,318100,0.00,0,0,0,0.00
70.00,295500,0.00,0,0,0,0.00
71.00,298900,0.00,0,0,0,0.00
72.00,319500,0.00,0,0,0,0.00
73.00,312700,0.00,0,0,0,0.00
74.00,302400,0.00,0,0,0,0.00
75.00,295500,0.00,0,0,0,0.00
76.00,305900,0.00,0,0,0,0.00
77.00,313000,0.00,0,0,0,0.00
78.00,312800,0.00,0,0,0,0.00
79.00,307000,0.00,0,0,0,0.00
80.00,303600,0.00,0,0,0,0.00
81.00,316600,0.00,0,0,0,0.00
82.00,308000,0.00,0,0,0,0.00
83.00,312100,0.00,0,0,0,0.00
84.00,298000,0.00,0,0,0,0.00
85.00,314200,0.00,0,0,0,0.00
86.00,307600,0.00,0,0,0,0.00
87.00,309300,0.00,0,0,0,0.00
88.00,301500,0.00,0,0,0,0.00
89.00,308300,0.00,0,0,0,0.00
90.00,305100,0.00,0,0,0,0.00
91.00,285900,0.00,0,0,0,0.00
92.00,315700,0.00,0,0,0,0.00
93.00,294000,0.00,0,0,0,0.00
94.00,315900,0.00,0,0,0,0.00
95.00,314200,0.00,0,0,0,0.00
96.00,302000,0.00,0,0,0,0.00
97.00,296000,0.00,0,0,0,0.00
98.00,312300,0.00,0,0,0,0.00
99.00,306600,0.00,0,0,0,0.00
100.00,316200,0.00,0,0,0,0.00
101.00,296400,0.00,0,0,0,0.00
102.00,304600,0.00,0,0,0,0.00
103.00,311700,0.00,0,0,0,0.00
104.00,316600,0.00,0,0,0,0.00
105.00,296100,0.00,0,0,0,0.00
106.00,305500,0.00,0,0,0,0.00
107.00,320100,0.00,0,0,0,0.00
108.00,305500,0.00,0,0,0,0.00
109.00,307600,0.00,0,0,0,0.00
110.00,296800,0.00,0,0,0,0.00
111.00,321200,0.00,0,0,0,0.00
112.00,299900,0.00,0,0,0,0.00
113.00,312300,0.00,0,0,0,0.00
114.00,288600,0.00,0,0,0,0.00
115.00,306200,0.00,0,0,0,0.00
116.00,304000,0.00,0,0,0,0.00
117.00,306100,0.00,0,0,0,0.00
118.00,305500,0.00,0,0,0,0.00
119.00,295400,0.00,0,0,0,0.00
120.00,316400,0.00,0,0,0,0.00
121.00,321500,0.00,0,0,0,0.00
122.00,294300,0.00,0,0,0,0.00
123.00,295000,0.00,0,0,0,0.00
124.00,322500,0.00,0,0,0,0.00
125.00,312500,0.00,0,0,0,0.00
126.00,297300,0.00,0,0,0,0.00
127.00,302100,0.00,0,0,0,0.00
128.00,327000,0.00,0,0,0,0.00
129.00,308400,0.00,0,0,0,0.00
130.00,311700,0.00,0,0,0,0.00
131.00,285700,0.00,0,0,0,0.00
132.00,329200,0.00,0,0,0,0.00
133.00,310500,0.00,0,0,0,0.00
134.00,316400,0.00,0,0,0,0.00
135.00,283600,0.00,0,0,0,0.00
136.00,326500,0.00,0,0,0,0.00
137.00,312100,0.00,0,0,0,0.00
138.00,314800,0.00,0,0,0,0.00
139.00,286800,0.00,0,0,0,0.00
140.00,317300,0.00,0,0,0,0.00
141.00,317500,0.00,0,0,0,0.00
142.00,316700,0.00,0,0,0,0.00
143.00,279900,0.00,0,0,0,0.00
144.00,328900,0.00,0,0,0,0.00
145.00,316000,0.00,0,0,0,0.00
146.00,312000,0.00,0,0,0,0.00
147.00,278900,0.00,0,0,0,0.00
148.00,322400,0.00,0,0,0,0.00
149.00,317300,0.00,0,0,0,0.00
150.00,301500,0.00,0,0,0,0.00
151.00,284800,0.00,0,0,0,0.00
152.00,317700,0.00,0,0,0,0.00
153.00,324900,0.00,0,0,0,0.00
154.00,314700,0.00,0,0,0,0.00
155.00,276900,0.00,0,0,0,0.00
156.00,308400,0.00,0,0,0,0.00
157.00,316600,0.00,0,0,0,0.00
158.00,317500,0.00,0,0,0,0.00
159.00,282600,0.00,0,0,0,0.00
160.00,297100,0.00,0,0,0,0.00
161.00,317800,0.00,0,0,0,0.00
162.00,316400,0.00,0,0,0,0.00
163.00,278300,0.00,0,0,0,0.00
164.00,311600,0.00,0,0,0,0.00
165.00,315000,0.00,0,0,0,0.00
166.00,312300,0.00,0,0,0,0.00
